Gene,GRC362.01_S14,GRC362.02_S9,GRC362.03_S13,GRC362.04_S12,GRC362.09_S20,GRC362.10_S6,GRC362.11_S3,GRC362.12_S17,GRC362.13_S16,GRC362.14_S19,GRC362.15_S11,GRC362.16_S18,GRC362.17_S5,GRC362.18_S15,GRC362.19_S8,GRC362.20_S2,GRC362.21_S10,GRC362.22_S7,GRC362.23_S1,GRC362.24_S4
A4galt,9.746123057,10.20496617,13.27634094,3.106122126,4.488592696,4.631671239,10.69686739,8.008131447,9.644539701,7.823740321,7.078349945,8.632516332,4.772540859,6.1868483,2.910787145,7.919216632,7.619864131,4.458746975,5.207385449,4.688633897
A4gnt,0.886011187,0,0,1.035374042,0,0,0.97244249,0,1.92890794,0,0,0,0.954508172,0,1.940524763,0,0,0,9.373293808,0
Aacs,437.6895264,466.3669542,413.041718,562.2081047,574.539865,484.4728116,284.9256496,414.4208024,529.4852296,506.8045119,337.9912099,425.8708057,532.6155599,731.0792408,799.4962025,779.0529362,649.8655552,457.4674397,897.7532514,817.6977517
Aadac,3453.671607,3206.400372,3982.902281,3326.656797,3131.915553,2902.205199,3209.060218,2896.941551,3225.134076,3130.365433,3394.068799,3258.295331,3315.961389,3471.853038,3634.602882,3283.505196,3875.245187,3559.863585,3609.759593,2915.392557
Aadat,1456.602391,1568.503301,1278.954177,1468.160391,1465.525515,1438.597087,1284.59653,1495.518548,1521.908365,1662.97947,1340.462521,1554.812108,1522.440534,1632.29681,1544.657712,1663.035493,1832.033048,1799.550279,1343.505446,1265.931152
Aass,3870.096865,4264.655365,4415.120936,5404.652499,4913.886854,4867.886473,4766.913087,4861.936805,5106.783772,5725.239306,5192.854479,5470.137849,4578.7757,4118.378685,4502.987713,4308.053848,3805.577857,3196.029832,4134.664046,3179.831509
Abat,5782.995018,5112.688054,6272.333518,6196.713641,6345.747923,6147.154069,7628.811336,6744.848711,7115.741391,8349.669531,9452.251558,7067.153371,6219.575248,5741.395222,6641.446002,5945.351887,5241.37797,3831.84715,6541.517601,4874.3038
Abca1,4020.718767,3993.203264,7517.359267,4387.915189,3100.495405,3906.351523,6694.294103,4290.356423,4303.393614,4608.183049,5627.288207,4154.158693,3228.146637,3092.393009,5525.644263,3509.20287,2976.101219,2051.023609,4880.361643,2165.211134
Abca3,5277.968641,5074.929679,6552.611826,5695.592604,5887.911469,6637.184886,9105.951478,6889.996094,6077.024465,6965.736799,8468.360916,5939.171236,4379.283492,4489.589583,6037.942801,4370.417679,2923.850722,1889.616968,4629.365664,2701.590852
Abca4,1.772022374,6.122979705,7.375744964,0,4.488592696,3.705336991,1.94488498,2.002032862,3.85781588,2.60791344,0,1.918336963,0.954508172,0,1.940524763,5.939412474,2.177104037,1.78349879,3.124431269,1.875453559
