Gene,P01_A02,P01_A03,P01_A04,P01_A05,P01_A06,P01_A07,P01_A08,P01_A09,P01_A10,P01_A11,P01_A12,P01_B02,P01_B03,P01_B04,P01_B05,P01_B06,P01_B07,P01_B08,P01_B09,P01_B10
A4galt,1.094156874,0,0.938462434,0,0.964847178,0,0.931284973,0,1.702042645,0.873530383,0,0,0,2.013071064,0,0.845314724,0,0.979108707,0,0.813362304
Aacs,252.7502378,263.3183786,393.2157598,253.174666,257.6141965,283.5904764,243.0653778,467.4043437,559.121009,616.7124505,698.0218968,532.5443662,441.58484,326.1175124,274.2702135,371.9384786,536.5321285,583.5487892,689.3611844,276.5431835
Aadac,15766.80055,16909.89724,10874.90268,13163.93184,12853.6941,12183.08166,11911.1348,8926.327486,10041.20059,9158.966068,10249.12949,11657.91671,13543.59363,14693.4057,12128.51755,8903.69999,10460.38935,7860.284698,8343.212194,6074.18969
Aadat,620.3869473,595.6619633,541.4928244,667.4604832,600.1349447,649.8223494,649.1056258,577.8651359,468.0617274,393.0886724,543.4756007,762.7797126,711.5113478,676.3918775,642.3697107,199.4942749,505.73121,454.3064399,410.7039169,742.599784
Aass,944.2573819,956.1269281,1083.924111,1554.722608,1681.728631,1155.239732,1192.97605,733.9708835,756.5579558,807.1420741,751.4905206,1385.416171,1636.97366,1392.038641,1369.90754,371.0931639,803.8046148,979.1087067,881.605571,169.9927216
Abat,3982.73102,4266.780329,4737.358366,5266.033054,5607.691798,4842.785835,4077.16561,4375.525429,4684.02136,4548.472705,5223.811299,5158.272781,4351.16555,4492.168079,3637.689148,2754.035371,2784.0056,3156.646471,3473.991997,2826.434008
Abca1,1107.286756,1105.681541,1117.708759,1202.579664,1269.738886,1243.100585,1315.905666,1253.410476,1304.615688,1109.383587,1456.10444,1397.42845,1223.998542,1174.626966,1030.678592,1943.378551,1095.916551,1088.768882,1213.664057,1800.784142
Abca3,566.7732605,599.4966969,864.3239016,827.4208404,791.1746859,771.6096705,596.0223824,816.1318033,734.4314014,896.2421731,911.8963919,815.8339445,597.0724597,589.8298218,565.8627564,757.4019928,441.148639,449.4108964,538.8668413,390.4139061
Abca4,0,0,0.938462434,0,0,0,0.931284973,1.825798218,0,0,0,0,0,0,0,0.845314724,0,0,0.970931246,0
Abca8b,467.204985,464.002774,516.1543386,539.7223562,638.7288318,593.278236,468.4363412,328.6436792,539.5475185,617.5859809,570.576136,439.4492045,282.3655174,346.248223,404.1876831,10.14377669,282.1761565,350.520917,334.9712797,503.4712665
Abcb11,393.8964745,622.5050989,491.7543154,622.5795197,665.7445528,508.8970206,501.9626002,420.8464892,489.3372605,524.9917603,585.9575209,577.5904123,523.6823032,523.3984767,531.2180978,357.5681283,374.578912,344.6462648,390.3143607,459.549702
Abcb4,130.204668,164.8935478,216.7848222,158.8095632,160.1646315,146.1447854,140.6240308,198.0991066,177.8634564,198.291397,195.5633226,131.1340451,113.1949872,134.8757613,124.1433598,2.535944172,103.3321136,163.511154,167.0001742,103.2970127
Abcb6,103.944903,129.1027002,202.7078857,193.3333813,168.8482561,160.9332458,130.3798962,245.5698603,208.500224,224.4973085,187.5064067,161.1647424,154.2437188,127.8300126,151.5703812,131.869097,136.1201882,217.3621329,190.3025241,87.02976658
Abcc1,0,1.278244556,0,1.150793937,0,5.219456621,4.656424863,4.564495544,3.40408529,5.241182299,2.197340703,4.004092979,1.243900958,6.039213192,4.330582319,6.762517793,3.974312063,2.93732612,2.912793737,1.626724609
Abcc2,466.1108281,407.7600135,438.2619566,367.1032658,415.8491337,407.9875259,477.7491909,442.7560678,319.9840173,358.1474571,320.8117427,497.5085527,567.2188367,540.5095807,601.9509423,242.6053258,537.5257065,557.1128541,619.4541347,467.6833251
Abcc3,28.44807871,26.84313568,37.53849736,36.82540597,49.20720608,33.0565586,42.83910874,52.94814831,62.97557787,46.29711031,54.20107069,38.0388833,49.75603831,45.29409894,57.74109759,301.7773565,151.0238584,226.1741113,220.4013928,579.1139608
Abcc4,5.470784368,11.50420101,5.630774603,8.055557556,4.82423589,8.699094369,7.45027978,2.738697326,6.808170581,6.114712682,5.859575209,8.008185959,23.6341182,23.15031724,28.87054879,25.35944172,17.88440428,59.72563111,38.83724982,50.42846288
Abcc5,13.12988248,16.61717923,6.569237037,5.753969683,12.54301331,18.26809817,12.10670464,6.390293762,11.06327719,13.10295575,9.521809715,7.007162714,7.463405747,9.058819788,23.09643903,27.8953859,14.90367024,6.853760947,11.65117495,16.26724609
Abcc8,0,1.278244556,0,0,0,0,0,0,0,0,0,0,0,0,1.44352744,0,0,0.979108707,0,0
Abcd1,42.67211807,47.29504858,60.06159577,55.23810895,61.75021939,66.98302664,79.15922266,54.77394653,68.08170581,65.51477874,61.5255397,42.04297628,39.80483065,32.20913702,70.73284454,38.88447731,68.55688309,94.97354455,100.9768495,108.9905488
Abcd2,26.25976497,7.669467338,6.569237037,8.055557556,24.12117945,12.17873212,24.21340929,4.564495544,7.659191904,11.35589498,11.71915042,11.01125569,14.92681149,12.07842638,11.54821952,15.21566503,34.77523055,38.18523956,58.25587474,70.76252049
Abcd3,3468.477289,3407.799987,4137.680871,4979.485363,4374.617105,3544.011046,3304.199082,3697.241391,3639.818197,4850.714218,4382.22981,4774.880878,4550.189704,4911.893396,4856.026307,2713.460265,3572.906545,4605.727356,5016.801746,2087.901036
Abcg2,264.7859634,273.5443351,218.6617471,426.9445505,355.0637615,250.5339178,205.8139789,158.8444449,158.289966,150.2472259,276.8649286,352.3601822,370.6824854,386.5096443,251.1737745,191.0411277,211.6321174,188.9679804,179.6222804,155.3522001
Abcg5,39.38964745,39.62558125,25.33848571,24.16667267,25.08602663,33.92646804,53.08324343,34.69016614,37.4449382,25.33238111,24.17074774,32.03274383,16.17071245,21.13724617,28.87054879,54.10014235,23.84587238,38.18523956,28.15700612,53.68191209
Abcg8,410.3088276,387.3081006,434.5081069,349.8413567,348.3098312,355.7929597,354.8195745,502.0945099,526.7821987,388.7210205,426.2840965,368.3765541,335.8532586,266.731916,290.1490154,306.0039301,279.1954224,251.6309376,247.5874676,247.2621406
Abhd5,27.35392184,17.89542379,19.70771111,34.5238181,31.83995687,41.75565297,41.90782376,41.0804599,34.0408529,29.70003303,38.08723886,25.02558112,9.951207662,14.09149745,4.330582319,2.535944172,8.942202142,14.6866306,7.767449965,8.133623044
Acaa1b,17.50650998,20.4519129,25.33848571,18.41270298,26.0508738,24.35746423,32.59497404,39.25466168,21.27553307,26.2059115,40.28457956,32.03274383,24.87801916,28.1829949,59.18462503,78.61426935,62.595415,95.95265326,104.8605745,109.8039111
Acaa2,32339.99471,30083.48563,21945.00555,24590.16484,25222.07008,22805.5458,22565.03488,20151.33493,21691.68249,19226.40373,23309.39018,25275.83693,24106.80056,28970.10568,22954.97335,26230.11589,23385.84576,21436.60603,23336.33249,18104.63153
Acaca,15.31819623,16.61717923,21.58463598,19.56349692,24.12117945,26.96719254,29.80111912,21.90957861,27.23268232,41.92945839,31.49521675,34.03479032,23.6341182,25.1633883,27.42702135,27.05007117,31.79449651,37.20613086,56.31401225,27.65431835
Acacb,10.94156874,2.556489113,28.15387302,29.92064235,38.59388712,14.78846043,14.90055956,2.738697326,6.808170581,22.71178996,15.38138492,20.0204649,17.41461341,29.18953043,17.32232928,40.57510676,19.87156032,19.58217413,27.18607488,7.32026074
