Gene,PFASdil17,PFASdil31,PFASdil50,PFASdil56,PFASdil4,PFASdil63,PFASdil84,PFASdil86,PFASdil7,PFASdil9,PFASdil24,PFASdil93,PFASdil1,PFASdil57,PFASdil72,PFASdil87,PFASdil13,PFASdil34,PFASdil45,PFASdil74,PFASdil40,PFASdil61,PFASdil90,PFASdil91,PFASdil10,PFASdil38,PFASdil39,PFASdil70,PFASdil16,PFASdil80,PFASdil95,PFASdil96
A4galt,3.956962692,3.730388138,2.245219183,9.760277675,12.61477504,3.151972284,1.016047203,4.950938471,7.508412592,4.823854948,11.6744725,7.229685641,1.005062122,9.888996984,5.156093526,4.234019736,12.16923533,13.83614743,13.13762785,7.299136221,5.129456108,3.697434414,16.91898099,12.99315976,10.77072788,4.869830696,8.798369516,3.211852598,8.657644405,7.499110837,8.333177245,6.186116768
A4gnt,8.903166057,63.41659834,1.122609592,51.72947168,35.14115904,32.57038026,119.8935699,37.62713238,10.32406731,4.823854948,4.86436354,11.36093458,40.20248488,20.76689367,49.49849785,84.68039473,35.57161097,58.30947846,34.72087361,42.75208358,25.64728054,97.98201197,18.90944935,5.413816567,16.15609182,0,1.955193226,5.353087663,22.12509126,46.06596657,2.083294311,11.34121408
Aacs,1067.390686,2437.808648,632.0292001,1426.952596,2113.875874,2323.003573,5436.868582,1573.408246,1480.095832,1709.574193,2633.56642,1601.891776,2582.004592,1244.035821,2103.686159,1343.242761,1564.214787,1693.939764,1950.937736,1521.348535,2511.381711,1737.794175,1454.037131,1908.911722,2145.169969,1536.918568,2312.993586,2517.021819,1173.591797,1499.822167,1421.848367,2239.37427
Aadac,5839.487693,5040.686971,6503.277364,4459.47087,5152.234548,5801.730317,5873.768879,5228.191025,4169.046092,4743.778955,5464.626,5177.487731,5895.694408,5127.444936,5532.488354,5732.862723,4907.010123,4650.922129,4537.173619,4996.78011,5333.608461,4460.95462,5152.32733,5615.210543,4702.32028,5605.175131,5037.555346,5471.926209,4755.93266,6042.140731,4997.823053,5400.479939
Aadat,1819.213598,1397.030358,1616.557812,1122.431933,1454.303351,1961.577418,1608.402722,1840.758923,1668.744699,1768.425224,2261.929046,1816.71672,1776.949832,1109.545462,1567.452432,1691.490885,1941.461083,1782.886426,1420.740612,1885.262612,2246.701775,1269.144363,1585.408043,2489.272858,1984.506612,3152.728392,2456.700288,2586.611959,3557.32989,2996.43043,2434.329403,3114.709793
Aass,3424.75121,2810.847462,3185.966021,2589.401667,2994.206961,3230.771591,3416.966743,3476.548994,2858.828094,3485.717585,3869.114759,3250.260102,3652.395752,3194.146026,3385.491009,3823.319822,3818.331609,2955.005773,3096.726565,3403.482946,4097.409539,3061.475695,3700.280667,4436.081295,4175.452174,4946.774021,3801.873228,3615.475407,3970.01094,4568.029801,3378.061726,4164.287605
Abat,8150.353905,7258.402719,7401.365037,6811.697789,6886.766116,7678.204483,8383.40547,9079.030968,7632.3014,7649.669176,8557.388339,8012.557315,8614.387449,5774.185339,8354.93395,8776.064408,8574.630433,6562.287067,7172.206405,8960.211078,10449.72798,6835.631873,8465.461902,9946.263797,9029.460205,11971.01782,9054.499829,10301.4819,10941.33861,10614.45574,9705.026549,10254.51956
Abca1,2633.358671,2907.837553,2601.086424,2892.946303,2799.579003,3495.537262,2938.40851,2783.417608,2755.587421,2957.023083,3431.322041,2784.461784,3401.130221,2817.375241,2623.420386,2466.316496,2649.148922,1494.303923,2819.897978,2227.279281,2887.883789,2675.093798,2491.071143,3067.468467,3023.881852,3656.268886,2720.651374,2737.569031,3001.316727,2444.710133,2258.291033,3602.381998
Abca3,1703.472439,2000.420639,1526.749045,2030.137756,1871.491982,1337.486906,1754.713519,1645.691948,1862.086323,1737.552552,2024.548105,1939.621376,1699.560048,1841.331238,1920.129229,1361.237345,1808.535589,1341.118005,1841.144703,1524.476736,1099.75539,1747.962119,1351.528011,1241.929521,1812.174966,1291.4791,1176.048725,1107.018529,560.8229653,923.4619344,479.1576916,829.9706664
Abca4,0,1.865194069,2.245219183,2.928083302,0.90105536,2.101314856,1.016047203,1.980375388,0.938551574,1.929541979,1.945745416,0,4.020248488,1.977799397,3.093656116,3.175514802,3.744380102,3.95318498,4.692009947,4.170934983,3.077673665,2.77307581,1.990468352,4.331053254,1.795121313,1.947932278,2.932789839,0,0,3.213904644,1.041647156,2.062038923
Abca8b,1006.057764,951.2489751,1165.268756,961.387351,1174.976189,1200.90144,933.7473794,893.1493002,916.9648878,898.2017912,1075.024342,782.8716737,1224.165665,1289.525207,691.9477512,901.8462038,778.8310611,465.4875314,877.4058601,676.734201,860.722735,785.7048129,839.9776447,1021.045805,894.8679746,983.7058005,789.8980632,903.6011975,889.8134527,819.5456843,821.8596058,931.0105737
Abcb11,6601.203011,6629.832318,8390.384088,6262.194156,5640.606553,7728.636039,5746.762979,5930.2341,4505.047555,6066.479982,7768.388573,6897.120102,6896.736282,6884.719701,5144.75012,5158.094544,6110.828326,4113.288972,6079.906489,5139.634633,5030.970551,4376.837987,5478.76414,6639.504638,5895.178392,5846.718733,4364.968877,4283.540748,5642.860231,6514.584714,4350.960169,4504.524027
Abcb1b,11.87088808,11.19116441,11.22609592,4.880138837,37.84432512,22.06380598,15.24070804,39.60750777,11.26261889,4.823854948,12.6473452,3.098436703,20.10124244,36.58928884,22.68681152,23.28710855,12.16923533,7.90636996,11.26082387,6.256402475,28.72495421,33.27690972,29.85702528,23.8207929,19.74633444,35.06278101,28.35030177,56.74272923,19.23920979,29.99644335,20.83294311,31.9616033
Abcb4,4388.271625,4671.378545,4140.184174,4919.179948,4198.016922,3547.019476,3024.772523,3962.731152,5695.130951,4474.607849,6262.381621,5420.198606,4567.002283,4621.128291,2383.146428,3030.499626,4453.940131,3695.23966,5317.924074,4002.012116,4768.342398,3959.952257,4849.77614,3460.51155,5088.271362,6767.116735,4735.477993,5941.927306,3813.21138,3660.63739,3213.481475,3996.231432
Abcb6,1311.733132,1132.1728,1265.18101,1202.46621,1070.453768,960.3008891,1010.966967,1028.805014,1336.497441,1331.383966,1257.924411,1380.869957,1181.953056,1050.21148,966.2519268,984.4095887,1508.049086,1487.385849,1370.066905,1470.254582,1213.629315,1012.172671,1124.614619,1062.19081,1459.433628,1486.272328,1388.18719,1616.632474,1163.972192,1188.073417,1349.974714,1071.22922
Abcc1,64.30064374,68.07958351,43.78177407,55.63358275,54.06332159,71.44470509,35.5616521,78.22482784,47.86613027,45.34423651,53.50799894,52.67342396,25.12655305,72.18967799,40.2175295,47.63272203,47.7408463,46.44992352,100.4090129,43.79481732,77.96773284,90.58714314,68.67115815,57.38645561,89.75606566,65.25573132,31.28309161,24.62420325,85.61448356,39.63815728,58.33224072,50.51995361
Abcc2,13026.32118,12583.53179,10683.87548,12778.15553,11292.92683,9833.102867,10969.2456,13056.61494,11541.36871,11326.41142,11714.36028,11756.50166,12576.34233,11757.02851,11056.72696,12637.49041,11131.10595,8123.795134,11154.78445,11803.746,13267.85117,8433.847898,11039.13748,10510.38348,12481.47849,13203.08498,11621.66853,12261.7826,16297.53461,15087.1397,13152.87863,10410.2035
Abcc3,6868.297992,5011.776463,4225.502503,7472.468588,6801.165856,5465.51994,5434.836488,6038.164559,8507.031467,5991.227845,6730.333393,6095.657808,7381.176225,7504.759811,5598.486351,6397.603822,5098.909603,5916.929619,6153.101845,6273.086215,9939.860046,5619.17595,6905.929948,5326.112739,7890.455732,9810.760919,7382.809621,7685.963266,14122.54194,12302.82698,13874.74011,10387.52107
Abcc4,53.41899634,58.75361317,62.86613713,73.20208256,77.49076095,81.95127937,57.91469056,75.25426476,127.6430141,84.89984708,104.0973797,82.62497876,55.27841672,112.7345656,52.59215397,85.73889966,69.27103188,87.95836581,84.45617905,99.05970585,129.2622939,73.94868828,94.54724673,80.12448519,318.6340331,323.3567582,348.0243942,210.9116539,602.1872664,371.7416372,620.8217048,198.9867561
Abcc5,100.9025486,110.9790471,138.0809798,124.9315542,153.1794112,159.699929,132.0861364,169.3220957,149.2297003,137.9622515,161.4968695,111.5437213,100.5062122,143.3904563,172.2135238,131.2546118,114.2035931,108.712587,156.7131322,138.6835882,132.3399676,160.838397,172.1755125,115.8556745,143.6097051,114.9280044,118.2891902,124.1916338,186.6203349,111.415361,164.5802506,130.9394716
Abcc9,781.5001316,629.5029982,777.968447,759.3496031,805.5434917,643.0023458,713.2651364,691.1510105,792.1375284,784.3588145,672.2550412,740.5263721,441.2222716,827.7090476,678.5419081,816.1073042,709.5600293,470.4290126,708.493502,680.905136,809.4281739,833.7714603,594.1548032,790.4172188,564.565653,571.7181237,607.0874966,663.7828702,764.7585891,615.9983901,584.3640543,816.5674134
Abcd1,1306.786929,1342.007133,903.7007212,1596.781428,1247.961673,931.9331385,1140.004962,1190.205608,1317.72641,1028.445875,1035.136561,1029.713798,1240.246659,983.9551999,1405.551095,1376.056414,1377.931877,1635.630286,1475.167927,1284.647975,1155.153516,1329.227672,1412.237296,926.8453963,1210.809326,903.8405771,828.0243311,953.9202215,1175.515718,1185.930814,1152.061754,975.3444105
Abcd2,511.4374279,734.8864631,895.8424541,1042.397656,187.4195149,27.31709312,119.8935699,141.5968403,1023.959767,896.2722493,889.205655,897.5138317,81.41003189,248.2138243,111.3716202,152.4247105,585.0593909,467.4641239,642.8053627,872.7681452,37.9579752,145.1243007,91.56154421,43.31053254,930.7704009,913.5802385,949.2463111,596.3339656,25.01097272,22.49733251,15.62470733,24.74446707
Abcd3,7167.048676,8113.594199,6959.056858,7583.735753,5090.061728,4032.423208,6330.990121,5091.545123,12566.26702,11119.95043,12313.64986,10478.91293,6511.797489,4697.273568,4823.009884,4995.084784,9027.700425,5881.350954,7634.838586,11344.94315,6265.117691,4397.173877,5076.689533,4463.150378,16856.18913,21904.49847,20552.99119,20485.19587,7082.915083,8805.027424,6240.50811,6236.636722
Abcg2,1268.206543,1138.700979,997.9999269,951.6270733,985.7545637,1085.329123,994.7102115,897.1100509,1393.749087,1119.134348,1734.632038,1107.174715,1457.340077,1195.579735,930.1592721,903.9632137,1049.362523,931.9633591,1353.175669,1194.972873,1695.798189,1177.632861,1399.299252,1121.742793,1727.804264,2926.768248,2369.69419,2390.68895,1514.12581,1491.251755,1197.894229,1627.97973
Abcg5,1543.21545,1047.30647,1511.03251,1123.40796,714.5369004,712.3457361,848.3994143,801.0618446,1504.498173,2148.544994,2183.126357,1505.840238,578.9157823,979.9996012,1191.057605,1080.733538,1150.460786,1587.20377,1115.759965,1703.826941,815.5835212,386.3818962,580.2215247,940.9213194,1697.287202,1921.635192,2343.299081,1210.868429,1035.069487,910.6063159,1042.688803,680.4728445
Abcg8,2700.627037,1587.280153,2669.565609,1641.678705,1019.093612,1110.544901,1445.83517,1187.235045,2047.919534,3291.798616,3175.456519,2403.35407,890.4850402,1321.169997,1645.825054,1489.316442,1913.378232,2220.701663,1579.330548,2630.817241,1298.778287,587.8920718,959.4057458,1480.137449,2624.46736,3225.775853,3373.685911,1880.004387,1466.027786,1297.346175,1603.094973,795.9470242
Abhd5,497.5880585,506.4001897,416.4881585,485.0858004,483.8667283,590.4694745,634.0134545,502.0251609,511.5106078,498.7866016,502.97519,438.9451996,521.6272414,522.1390408,622.856098,521.8429325,426.8593316,490.1949375,570.5484096,558.9052877,530.3857616,640.5805122,555.3406703,559.788633,618.4192924,687.6200942,785.0100802,745.1498027,485.7900471,610.6418824,694.7786528,716.5585257
Acaa1b,21059.94469,25174.52435,19281.94235,28431.68887,21360.41836,9419.143841,22033.99964,19488.8742,52173.14345,44080.38651,52243.26442,46407.35213,16749.36026,18818.76126,18912.55105,17021.81784,32943.99223,40626.88204,34227.27416,39805.31801,31642.58884,18073.05941,22098.17965,13087.36017,67369.10776,103825.7644,97892.61443,90547.47782,20201.17028,34104.88478,23119.35862,15850.8932
Acaa2,10708.53028,9736.313039,12033.25221,9783.702341,8622.198739,7879.930709,8445.38435,8341.341136,10853.4104,11447.00779,12804.95058,12025.03285,8807.359376,8336.424458,8221.906737,8350.545425,11231.26811,11054.0935,9189.770682,10903.86678,9906.005636,7772.007138,7969.835283,8795.286395,12123.35179,15414.96208,13970.8332,14297.02653,9347.370075,9464.949177,9808.149618,9694.675996
Acaca,2925.18467,5631.953491,2323.801855,5052.895752,4439.499758,5653.587619,8719.717094,3861.732007,5395.732999,4491.008956,5060.883827,4849.053441,6657.531497,3830.997432,5790.29303,4338.811725,4362.202818,3635.941886,4880.628747,5022.848453,2503.174581,5060.863354,3309.153636,2338.768757,4996.720175,3953.328559,4159.673588,4280.328895,2935.903414,3611.357519,1486.430491,1810.470174
Acacb,2283.167473,4309.530896,1530.116873,4402.861259,3761.005072,3628.970756,7272.865878,2575.478193,6506.978062,5666.100021,4074.390901,4720.984724,4458.455574,3265.346804,6615.267994,3958.808453,3912.877206,4399.894883,4836.523853,7864.297911,2662.18772,4425.828993,3286.26325,3115.110053,7614.00705,5992.813654,7150.141627,6024.364856,2624.228215,5314.72698,1921.839002,2401.244326
Acad11,6545.805533,6510.459897,6272.019788,6882.947816,5799.192296,4932.836624,4932.90917,5772.794257,8186.046828,7640.021466,9082.739601,8128.232285,6381.139413,5179.85662,4865.289851,5389.907124,6842.854636,6328.060857,7124.347904,7787.135614,7305.371389,5591.445192,6206.280322,5232.995094,10293.22561,12368.396,10273.56281,10572.34813,6556.722696,6722.417214,5913.430903,6251.070995
Acad8,694.4469524,597.7946991,800.4206388,720.3084924,550.5448249,647.2049756,693.9602395,583.2205519,703.9136805,643.50225,724.7901674,612.457655,617.108143,606.1955151,571.2951627,702.8472762,634.6724272,612.7436719,590.2548513,577.6744952,638.1043399,542.5985002,528.4693475,696.2168105,640.8583088,740.2142657,650.1017476,674.4890455,473.2845608,628.8540087,595.822173,523.7578864
Acad9,489.6741331,517.5913541,513.0325834,572.9282995,516.3047212,543.1898902,602.5159913,596.0929919,532.1587424,527.7297313,593.4523518,648.6060832,577.9107202,501.3721471,497.0474159,541.9545262,540.1268297,578.1533034,529.258722,537.0078791,540.6446738,655.3702499,644.9117461,480.7469112,687.5314629,715.8651123,586.5579677,661.6416351,524.2684667,557.076805,405.2007435,533.0370616
Acadl,3042.90431,2761.419819,3695.630776,3334.110854,1794.001222,1581.239429,1843.109626,2165.540487,3989.782741,4136.938003,4175.569662,3830.700578,2096.559587,1885.831725,1786.070797,2076.786681,3417.682938,3258.41272,3063.882495,3828.918315,2282.607968,1748.886478,1854.12127,1974.960284,4883.627532,6138.908575,5832.341393,5403.406687,2279.84636,2361.148612,2425.996226,2075.442176
